"ASV_ID","kingdom","phylum","class","order","family","genus","species","domain","species_raw","best_id","species_lab"
"ASV387","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo labrax","Eukaryota","Salmo labrax","Salmo labrax","Salmo labrax 3"
"ASV388","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Symphodus","Symphodus melops","Eukaryota","Symphodus melops","Symphodus melops","Symphodus melops 3"
"ASV389","Eukaryota","Chordata","Mammalia","Rodentia","Muridae","Rattus","Rattus norvegicus","Eukaryota","Rattus norvegicus","Rattus norvegicus","Rattus norvegicus"
"ASV390","Eukaryota","Chordata","Actinopteri","Cypriniformes","Leuciscidae","Phoxinus","Phoxinus","Eukaryota",NA,"Phoxinus","Phoxinus 26"
"ASV397","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo","Eukaryota",NA,"Salmo","Salmo 8"
"ASV398","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Pleuronectidae","Pleuronectidae","Eukaryota",NA,"Pleuronectidae","Pleuronectidae 6"
"ASV399","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupeidae","Clupeidae","Eukaryota",NA,"Clupeidae","Clupeidae 1"
"ASV401","Eukaryota","Chordata","Actinopteri","Cypriniformes","Leuciscidae","Phoxinus","Phoxinus","Eukaryota",NA,"Phoxinus","Phoxinus 27"
"ASV403","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Symphodus","Symphodus melops","Eukaryota","Symphodus melops","Symphodus melops","Symphodus melops 4"
"ASV404","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Pleuronectidae","Pleuronectidae","Eukaryota",NA,"Pleuronectidae","Pleuronectidae 7"
"ASV408","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo","Eukaryota",NA,"Salmo","Salmo 9"
"ASV411","Eukaryota","Chordata","Aves","Gaviiformes","Gaviidae","Gavia","Gavia stellata","Eukaryota","Gavia stellata","Gavia stellata","Gavia stellata"
"ASV412","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupeidae","Clupeidae","Eukaryota",NA,"Clupeidae","Clupeidae 2"
"ASV415","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Melanogrammus","Melanogrammus aeglefinus","Eukaryota","Melanogrammus aeglefinus","Melanogrammus aeglefinus","Melanogrammus aeglefinus 3"
"ASV416","Eukaryota","Chordata","Mammalia","Eulipotyphla","Soricidae","Sorex","Sorex araneus","Eukaryota","Sorex araneus","Sorex araneus","Sorex araneus"
"ASV417","Eukaryota","Chordata","Actinopteri","Scombriformes","Scombridae","Scomber","Scomber scombrus","Eukaryota","Scomber scombrus","Scomber scombrus","Scomber scombrus 10"
"ASV421","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Ctenolabrus","Ctenolabrus rupestris","Eukaryota","Ctenolabrus rupestris","Ctenolabrus rupestris","Ctenolabrus rupestris 21"
"ASV422","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupea","Clupea","Eukaryota",NA,"Clupea","Clupea 8"
"ASV423","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupeidae","Clupeidae","Eukaryota",NA,"Clupeidae","Clupeidae 3"
"ASV424","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus","Gasterosteus gymnurus","Eukaryota","Gasterosteus gymnurus","Gasterosteus gymnurus","Gasterosteus gymnurus 2"
"ASV425","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Ctenolabrus","Ctenolabrus rupestris","Eukaryota","Ctenolabrus rupestris","Ctenolabrus rupestris","Ctenolabrus rupestris 22"
"ASV426","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Ctenolabrus","Ctenolabrus rupestris","Eukaryota","Ctenolabrus rupestris","Ctenolabrus rupestris","Ctenolabrus rupestris 23"
"ASV427","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Pollachius","Pollachius","Eukaryota",NA,"Pollachius","Pollachius"
"ASV428","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Ctenolabrus","Ctenolabrus rupestris","Eukaryota","Ctenolabrus rupestris","Ctenolabrus rupestris","Ctenolabrus rupestris 24"
"ASV429","Eukaryota","Chordata","Mammalia","Perissodactyla","Equidae","Equus","Equus caballus","Eukaryota","Equus caballus","Equus caballus","Equus caballus"
"ASV432","Eukaryota","Chordata","Actinopteri","Gadiformes","Gadidae","Pollachius","Pollachius virens","Eukaryota","Pollachius virens","Pollachius virens","Pollachius virens 13"
"ASV433","Eukaryota","Chordata","Actinopteri","Perciformes","Pholidae","Pholis","Pholis","Eukaryota",NA,"Pholis","Pholis 4"
"ASV434","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Salmo","Salmo","Eukaryota",NA,"Salmo","Salmo 10"
"ASV436","Eukaryota","Chordata","Actinopteri","Gobiiformes","Gobiidae","Pomatoschistus","Pomatoschistus pictus","Eukaryota","Pomatoschistus pictus","Pomatoschistus pictus","Pomatoschistus pictus 4"
"ASV437","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus","Gasterosteus","Eukaryota",NA,"Gasterosteus","Gasterosteus 2"
"ASV438","Eukaryota","Chordata","Actinopteri","Actinopteri","Actinopteri","Actinopteri","Actinopteri","Eukaryota",NA,"Actinopteri","Actinopteri 3"
"ASV439","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Clupeidae","Clupeidae","Eukaryota",NA,"Clupeidae","Clupeidae 4"
